Ticket ID,Issue Type,Case Owner,Street Address,City,Zip / Postal Code,Neighborhood / District / Ward / etc.,Ticket Created Date / Time,Ticket Closed Date / Time,Latitude,Longitude,Method Received
17-10475226,POTHOLE,Public_Works_Road_And_Bridges-16-60,2843 NW 88TH ST,Miami_Dade_County,33147,District 2,12/15/2017 12:00:00 AM,12/29/2017 12:00:00 AM,25.855081,-80.243955,PHONE
17-10475211,POTHOLE,Public_Works_Road_And_Bridges-16-60,1510 NE 14TH ST,Miami_Dade_County,33033,District 8,12/15/2017 12:00:00 AM,12/29/2017 12:00:00 AM,25.483478,-80.456726,PHONE
17-10475122,DRAIN (STORM) MISSING COVER,Public_Works_Road_And_Bridges-16-60,2300 NW 34TH AVE,Miami_Dade_County,33142,District 5,12/15/2017 12:00:00 AM,12/15/2017 12:07:05 AM,25.797803,-80.251748,PHONE
17-10474736,DROP - OFFS ALONG ROADWAYS,Public_Works_Road_And_Bridges-16-60,13100 SW 112TH AVE,Miami_Dade_County,33176,District 8,12/15/2017 12:00:00 AM,12/27/2017 12:00:00 AM,25.646982,-80.3754,EMAIL
17-10475532,POTHOLE,Public_Works_Road_And_Bridges-16-60,19700 SW 110TH CT,Miami_Dade_County,33157,District 9,12/15/2017 12:00:00 AM,12/19/2017 12:00:00 AM,25.583418,-80.371059,PHONE
17-10474986,POTHOLE,Public_Works_Road_And_Bridges-16-60,10200 SW 166TH ST,Miami_Dade_County,33157,District 9,12/15/2017 12:00:00 AM,12/19/2017 12:00:00 AM,25.615279,-80.359036,PHONE
17-10474256,STRAY DOG PICK UP - MD,Animal_Services,4551 SW 134TH CT,Miami_Dade_County,33175,District 10,12/15/2017 01:42:12 AM,12/15/2017 06:39:52 PM,25.72377,-80.412586,PHONE
17-10475951,DRAIN (STORM) MISSING COVER,Public_Works_Road_And_Bridges-16-60,2237 NW 20TH ST,City_of_Miami,33142,District 3,12/15/2017 02:29:00 AM,12/15/2017 12:00:00 AM,25.794551,-80.232302,XTERFACE
17-10475952,DRAIN - REPAIR,Public_Works_Road_And_Bridges-16-60,40 SW 31ST RD,City_of_Miami,33129,District 7,12/15/2017 04:38:00 AM,,25.748769,-80.209759,XTERFACE
17-10474447,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,4101 NW 25TH ST,Miami_Dade_County,33142,District 6,12/15/2017 06:59:08 AM,,25.799115,-80.263221,XTERFACE
17-10475861,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,20140 SW 132ND AVE,Miami_Dade_County,33177,District 8,12/15/2017 07:04:00 AM,12/15/2017 12:00:00 AM,25.579302,-80.405373,XTERFACE
17-10475862,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,20461 SW 127TH CT,Miami_Dade_County,33177,District 8,12/15/2017 07:06:00 AM,,25.576485,-80.397249,XTERFACE
17-10475863,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,20441 SW 127TH CT,Miami_Dade_County,33177,District 8,12/15/2017 07:07:00 AM,,25.576691,-80.397235,XTERFACE
17-10475864,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,20401 SW 127TH CT,Miami_Dade_County,33177,District 8,12/15/2017 07:08:00 AM,,25.577113,-80.397233,XTERFACE
17-10475865,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,20361 SW 127TH CT,Miami_Dade_County,33177,District 8,12/15/2017 07:10:00 AM,,25.577311,-80.39722,XTERFACE
17-10474452,ABANDONED PROPERTY / VEHICLE,Regulatory_and_Economic_Resources,10190 SW 168TH ST,Miami_Dade_County,33157,District 9,12/15/2017 07:10:19 AM,12/27/2017 11:03:06 AM,25.613139,-80.356287,XTERFACE
17-10475866,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,20341 SW 127TH CT,Miami_Dade_County,33177,District 8,12/15/2017 07:11:00 AM,,25.577501,-80.397257,XTERFACE
17-10475867,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,12722 SW 203RD TER,Miami_Dade_County,33177,District 8,12/15/2017 07:13:00 AM,,25.577492,-80.397718,XTERFACE
17-10475869,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,12723 SW 204TH ST,Miami_Dade_County,33177,District 8,12/15/2017 07:14:00 AM,,25.577218,-80.397703,XTERFACE
17-10474454,TRAFFIC SIGN  CONTROL SIGNS  DOWN DAMAGED  MISSING,Public_Works_Traffic_Engineering-10-60,S DATRAN DR & US 1,Miami_Dade_County,33156,District 7,12/15/2017 07:14:02 AM,12/16/2017 12:00:00 AM,25.683718,-80.31386,PHONE
17-10475870,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,15335 SW 23RD LN,Miami_Dade_County,33185,District 11,12/15/2017 07:15:00 AM,12/15/2017 12:00:00 AM,25.744857,-80.443087,XTERFACE
17-10475871,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,15343 SW 23RD LN,Miami_Dade_County,33185,District 11,12/15/2017 07:19:00 AM,12/15/2017 12:00:00 AM,25.744852,-80.443239,XTERFACE
17-10474460,PET ACCOUNT UPDATE,Animal_Services,1700 NW N RIVER DR,City_of_Miami,33125,District 3,12/15/2017 07:23:05 AM,12/18/2017 09:30:31 AM,25.787129,-80.223795,PHONE
17-10474462,COMMERCIAL VEHICLE - UNAUTHORIZED,Regulatory_and_Economic_Resources,17720 SW 112TH PL,Miami_Dade_County,33157,District 9,12/15/2017 07:23:20 AM,12/20/2017 10:51:05 AM,25.604157,-80.374842,WEB
17-10475872,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,8120 NW 186TH TER,Miami_Dade_County,33015,District 13,12/15/2017 07:25:00 AM,12/15/2017 12:00:00 AM,25.942589,-80.33345,XTERFACE
17-10475873,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,21001 NE 25TH CT,Miami_Dade_County,33180,District 4,12/15/2017 07:26:00 AM,12/15/2017 12:00:00 AM,25.970074,-80.15048,XTERFACE
17-10474471,COMMERCIAL VEHICLE - UNAUTHORIZED,Regulatory_and_Economic_Resources,9933 SW 157TH ST,Miami_Dade_County,33157,District 9,12/15/2017 07:27:02 AM,12/29/2017 09:15:05 AM,25.624433,-80.35415,XTERFACE
17-10474465,STRAY / DOG-AT-LARGE,Animal_Services,7512 NW 1ST AVE,City_of_Miami,33150,District 3,12/15/2017 07:27:22 AM,01/08/2018 05:57:38 PM,25.843796,-80.198669,PHONE
17-10474466,DEAD ANIMAL PICKUP MD,Animal_Services,NE 163RD ST & NE 16TH AVE,City_of_North_Miami_Beach,33162,District 2,12/15/2017 07:27:34 AM,12/18/2017 02:18:14 PM,25.925775,-80.168001,PHONE
17-10475874,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,21011 NE 25TH CT,Miami_Dade_County,33180,District 4,12/15/2017 07:28:00 AM,12/15/2017 12:00:00 AM,25.97029,-80.150493,XTERFACE
17-10475875,SIDEWALK BROKEN / RAISED,Public_Works_Road_And_Bridges-16-60,2531 NE 209TH TER,Miami_Dade_County,33180,District 4,12/15/2017 07:29:00 AM,12/15/2017 12:00:00 AM,25.9694,-80.150987,XTERFACE
17-10474474,JUNK AND TRASH / OVERGROWTH,Regulatory_and_Economic_Resources,2140 NW 76TH ST,Miami_Dade_County,33147,District 2,12/15/2017 07:31:02 AM,,25.843808,-80.232197,XTERFACE
17-10474476,COMMERCIAL VEHICLE - UNAUTHORIZED,Regulatory_and_Economic_Resources,9936 SW 157TH ST,Miami_Dade_County,33157,District 9,12/15/2017 07:31:57 AM,12/18/2017 07:06:05 AM,25.62404,-80.354137,XTERFACE
